Catalog_num,Plate_num,Column_num,Row_num,Case_ID,Box_col,count_in_box,Plate_well_ID
UCSB-IZC00044269,1,1,A,D1,2,33,PlateNumber:1;ColumnNumber:1;RowNumber:A
UCSB-IZC00014965,1,1,B,D1,4,17,PlateNumber:1;ColumnNumber:1;RowNumber:B
UCSB-IZC00035455,1,1,C,D1,4,11,PlateNumber:1;ColumnNumber:1;RowNumber:C
UCSB-IZC00035527,1,1,D,D1,4,,PlateNumber:1;ColumnNumber:1;RowNumber:D
UCSB-IZC00038956,1,1,E,D10,1,,PlateNumber:1;ColumnNumber:1;RowNumber:E
UCSB-IZC00035377,1,1,F,?,4,32,PlateNumber:1;ColumnNumber:1;RowNumber:F
UCSB-IZC00037286,1,1,G,,,,PlateNumber:1;ColumnNumber:1;RowNumber:G
UCSB-IZC00040323,1,1,H,1,1,44,PlateNumber:1;ColumnNumber:1;RowNumber:H
UCSB-IZC00034066,1,2,A,,,,PlateNumber:1;ColumnNumber:2;RowNumber:A
UCSB-IZC00063833,1,2,B,,,,PlateNumber:1;ColumnNumber:2;RowNumber:B
UCSB-IZC00030482,1,2,C,,,,PlateNumber:1;ColumnNumber:2;RowNumber:C
UCSB-IZC00055820,1,2,D,,,,PlateNumber:1;ColumnNumber:2;RowNumber:D
UCSB-IZC00043417,1,2,E,,,,PlateNumber:1;ColumnNumber:2;RowNumber:E
UCSB-IZC00055840,1,2,F,,,,PlateNumber:1;ColumnNumber:2;RowNumber:F
UCSB-IZC00036701,1,2,G,,,,PlateNumber:1;ColumnNumber:2;RowNumber:G
UCSB-IZC00037405,1,2,H,,,,PlateNumber:1;ColumnNumber:2;RowNumber:H
UCSB-IZC00038815,1,3,A,,,,PlateNumber:1;ColumnNumber:3;RowNumber:A
UCSB-IZC00037446,1,3,B,,,,PlateNumber:1;ColumnNumber:3;RowNumber:B
UCSB-IZC00037110,1,3,C,,,,PlateNumber:1;ColumnNumber:3;RowNumber:C
UCSB-IZC00039889,1,3,D,,,,PlateNumber:1;ColumnNumber:3;RowNumber:D
UCSB-IZC00039615,1,3,E,,,,PlateNumber:1;ColumnNumber:3;RowNumber:E
UCSB-IZC00046972,1,3,F,,,,PlateNumber:1ColumnNumber:3RowNumber:F
UCSB-IZC00035456,1,3,G,,,,PlateNumber:1ColumnNumber:3RowNumber:G
UCSB-IZC00033738,1,3,H,,,,PlateNumber:1ColumnNumber:3RowNumber:H
UCSB-IZC00030973,1,4,A,,,,PlateNumber:1ColumnNumber:4RowNumber:A
UCSB-IZC00030108,1,4,B,,,,PlateNumber:1ColumnNumber:4RowNumber:B
UCSB-IZC00021770,1,4,C,,,,PlateNumber:1ColumnNumber:4RowNumber:C
UCSB-IZC00030401,1,4,D,,,,PlateNumber:1ColumnNumber:4RowNumber:D
UCSB-IZC00035325,1,4,E,,,,PlateNumber:1ColumnNumber:4RowNumber:E
UCSB-IZC00037010,1,4,F,,,,PlateNumber:1ColumnNumber:4RowNumber:F
UCSB-IZC00064966,1,4,G,,,,PlateNumber:1ColumnNumber:4RowNumber:G
UCSB-IZC00036250,1,4,H,,,,PlateNumber:1ColumnNumber:4RowNumber:H
UCSB-IZC00021587,1,5,A,,,,PlateNumber:1ColumnNumber:5RowNumber:A
UCSB-IZC00026835,1,5,B,,,,PlateNumber:1ColumnNumber:5RowNumber:B
UCSB-IZC00037200,1,5,C,,,,PlateNumber:1ColumnNumber:5RowNumber:C
UCSB-IZC00026365,1,5,D,,,,PlateNumber:1ColumnNumber:5RowNumber:D
UCSB-IZC00028263,1,5,E,,,,PlateNumber:1ColumnNumber:5RowNumber:E
UCSB-IZC00026601,1,5,F,,,,PlateNumber:1ColumnNumber:5RowNumber:F
UCSB-IZC00004752,1,5,G,,,,PlateNumber:1ColumnNumber:5RowNumber:G
UCSB-IZC00026587,1,5,H,,,,PlateNumber:1ColumnNumber:5RowNumber:H
UCSB-IZC00026390,1,6,A,,,,PlateNumber:1ColumnNumber:6RowNumber:A
UCSB-IZC00004901,1,6,B,,,,PlateNumber:1ColumnNumber:6RowNumber:B
UCSB-IZC00006208,1,6,C,,,,PlateNumber:1ColumnNumber:6RowNumber:C
UCSB-IZC00003855,1,6,D,,,,PlateNumber:1ColumnNumber:6RowNumber:D
UCSB-IZC00006683,1,6,E,,,,PlateNumber:1ColumnNumber:6RowNumber:E
,1,6,F,,,,PlateNumber:1ColumnNumber:6RowNumber:F
,1,6,G,,,,PlateNumber:1ColumnNumber:6RowNumber:G
,1,6,H,,,,PlateNumber:1ColumnNumber:6RowNumber:H
,1,7,A,,,,PlateNumber:1ColumnNumber:7RowNumber:A
,1,7,B,,,,PlateNumber:1ColumnNumber:7RowNumber:B
,1,7,C,,,,PlateNumber:1ColumnNumber:7RowNumber:C
,1,7,D,,,,PlateNumber:1ColumnNumber:7RowNumber:D
,1,7,E,,,,PlateNumber:1ColumnNumber:7RowNumber:E
,1,7,F,,,,PlateNumber:1ColumnNumber:7RowNumber:F
,1,7,G,,,,PlateNumber:1ColumnNumber:7RowNumber:G
,1,7,H,,,,PlateNumber:1ColumnNumber:7RowNumber:H
,1,8,A,,,,PlateNumber:1ColumnNumber:8RowNumber:A
,1,8,B,,,,PlateNumber:1ColumnNumber:8RowNumber:B
,1,8,C,,,,PlateNumber:1ColumnNumber:8RowNumber:C
,1,8,D,,,,PlateNumber:1ColumnNumber:8RowNumber:D
,1,8,E,,,,PlateNumber:1ColumnNumber:8RowNumber:E
,1,8,F,,,,PlateNumber:1ColumnNumber:8RowNumber:F
,1,8,G,,,,PlateNumber:1ColumnNumber:8RowNumber:G
,1,8,H,,,,PlateNumber:1ColumnNumber:8RowNumber:H
,1,9,A,,,,PlateNumber:1ColumnNumber:9RowNumber:A
,1,9,B,,,,PlateNumber:1ColumnNumber:9RowNumber:B
,1,9,C,,,,PlateNumber:1ColumnNumber:9RowNumber:C
,1,9,D,,,,PlateNumber:1ColumnNumber:9RowNumber:D
,1,9,E,,,,PlateNumber:1ColumnNumber:9RowNumber:E
,1,9,F,,,,PlateNumber:1ColumnNumber:9RowNumber:F
,1,9,G,,,,PlateNumber:1ColumnNumber:9RowNumber:G
,1,9,H,,,,PlateNumber:1ColumnNumber:9RowNumber:H
,1,10,A,,,,PlateNumber:1ColumnNumber:10RowNumber:A
,1,10,B,,,,PlateNumber:1ColumnNumber:10RowNumber:B
,1,10,C,,,,PlateNumber:1ColumnNumber:10RowNumber:C
,1,10,D,,,,PlateNumber:1ColumnNumber:10RowNumber:D
,1,10,E,,,,PlateNumber:1ColumnNumber:10RowNumber:E
,1,10,F,,,,PlateNumber:1ColumnNumber:10RowNumber:F
,1,10,G,,,,PlateNumber:1ColumnNumber:10RowNumber:G
,1,10,H,,,,PlateNumber:1ColumnNumber:10RowNumber:H
,1,11,A,,,,PlateNumber:1ColumnNumber:11RowNumber:A
,1,11,B,,,,PlateNumber:1ColumnNumber:11RowNumber:B
,1,11,C,,,,PlateNumber:1ColumnNumber:11RowNumber:C
,1,11,D,,,,PlateNumber:1ColumnNumber:11RowNumber:D
,1,11,E,,,,PlateNumber:1ColumnNumber:11RowNumber:E
,1,11,F,,,,PlateNumber:1ColumnNumber:11RowNumber:F
,1,11,G,,,,PlateNumber:1ColumnNumber:11RowNumber:G
,1,11,H,,,,PlateNumber:1ColumnNumber:11RowNumber:H
,1,12,A,,,,PlateNumber:1ColumnNumber:12RowNumber:A
,1,12,B,,,,PlateNumber:1ColumnNumber:12RowNumber:B
,1,12,C,,,,PlateNumber:1ColumnNumber:12RowNumber:C
,1,12,D,,,,PlateNumber:1ColumnNumber:12RowNumber:D
,1,12,E,,,,PlateNumber:1ColumnNumber:12RowNumber:E
,1,12,F,,,,PlateNumber:1ColumnNumber:12RowNumber:F
,1,12,G,,,,PlateNumber:1ColumnNumber:12RowNumber:G
,1,12,H,,,,PlateNumber:1ColumnNumber:12RowNumber:H
UCSB-IZC00028556,2,1,A,D4,2,22,PlateNumber:2ColumnNumber:1RowNumber:A
UCSB-IZC00035502,2,1,B,D5,1,16,PlateNumber:2ColumnNumber:1RowNumber:B
UCSB-IZC00009100,2,1,C,D5,3,22,PlateNumber:2ColumnNumber:1RowNumber:C
UCSB-IZC00043619,2,1,D,D5,4,13,PlateNumber:2ColumnNumber:1RowNumber:D
UCSB-IZC00039459,2,1,E,,,,PlateNumber:2ColumnNumber:1RowNumber:E
UCSB-IZC00045923,2,1,F,,,,PlateNumber:2ColumnNumber:1RowNumber:F
UCSB-IZC00047190,2,1,G,,,,PlateNumber:2ColumnNumber:1RowNumber:G
UCSB-IZC00047283,2,1,H,,,,PlateNumber:2ColumnNumber:1RowNumber:H
UCSB-IZC00038682,2,2,A,,,,PlateNumber:2ColumnNumber:2RowNumber:A
UCSB-IZC00064245,2,2,B,,,,PlateNumber:2ColumnNumber:2RowNumber:B
UCSB-IZC00033429,2,2,C,,,,PlateNumber:2ColumnNumber:2RowNumber:C
UCSB-IZC00009197,2,2,D,,,,PlateNumber:2ColumnNumber:2RowNumber:D
UCSB-IZC00056246,2,2,E,,,,PlateNumber:2ColumnNumber:2RowNumber:E
UCSB-IZC00004447,2,2,F,,,,PlateNumber:2ColumnNumber:2RowNumber:F
UCSB-IZC00033836,2,2,G,,,,PlateNumber:2ColumnNumber:2RowNumber:G
,2,2,H,,,,PlateNumber:2ColumnNumber:2RowNumber:H
,2,3,A,,,,PlateNumber:2ColumnNumber:3RowNumber:A
,2,3,B,,,,PlateNumber:2ColumnNumber:3RowNumber:B
,2,3,C,,,,PlateNumber:2ColumnNumber:3RowNumber:C
,2,3,D,,,,PlateNumber:2ColumnNumber:3RowNumber:D
,2,3,E,,,,PlateNumber:2ColumnNumber:3RowNumber:E
,2,3,F,,,,PlateNumber:2ColumnNumber:3RowNumber:F
,2,3,G,,,,PlateNumber:2ColumnNumber:3RowNumber:G
,2,3,H,,,,PlateNumber:2ColumnNumber:3RowNumber:H
,2,4,A,,,,PlateNumber:2ColumnNumber:4RowNumber:A
,2,4,B,,,,PlateNumber:2ColumnNumber:4RowNumber:B
,2,4,C,,,,PlateNumber:2ColumnNumber:4RowNumber:C
,2,4,D,,,,PlateNumber:2ColumnNumber:4RowNumber:D
,2,4,E,,,,PlateNumber:2ColumnNumber:4RowNumber:E
,2,4,F,,,,PlateNumber:2ColumnNumber:4RowNumber:F
,2,4,G,,,,PlateNumber:2ColumnNumber:4RowNumber:G
,2,4,H,,,,PlateNumber:2ColumnNumber:4RowNumber:H
,2,5,A,,,,PlateNumber:2ColumnNumber:5RowNumber:A
,2,5,B,,,,PlateNumber:2ColumnNumber:5RowNumber:B
,2,5,C,,,,PlateNumber:2ColumnNumber:5RowNumber:C
,2,5,D,,,,PlateNumber:2ColumnNumber:5RowNumber:D
,2,5,E,,,,PlateNumber:2ColumnNumber:5RowNumber:E
,2,5,F,,,,PlateNumber:2ColumnNumber:5RowNumber:F
,2,5,G,,,,PlateNumber:2ColumnNumber:5RowNumber:G
,2,5,H,,,,PlateNumber:2ColumnNumber:5RowNumber:H
,2,6,A,,,,PlateNumber:2ColumnNumber:6RowNumber:A
,2,6,B,,,,PlateNumber:2ColumnNumber:6RowNumber:B
,2,6,C,,,,PlateNumber:2ColumnNumber:6RowNumber:C
,2,6,D,,,,PlateNumber:2ColumnNumber:6RowNumber:D
,2,6,E,,,,PlateNumber:2ColumnNumber:6RowNumber:E
,2,6,F,,,,PlateNumber:2ColumnNumber:6RowNumber:F
,2,6,G,,,,PlateNumber:2ColumnNumber:6RowNumber:G
,2,6,H,,,,PlateNumber:2ColumnNumber:6RowNumber:H
,2,7,A,,,,PlateNumber:2ColumnNumber:7RowNumber:A
,2,7,B,,,,PlateNumber:2ColumnNumber:7RowNumber:B
,2,7,C,,,,PlateNumber:2ColumnNumber:7RowNumber:C
,2,7,D,,,,PlateNumber:2ColumnNumber:7RowNumber:D
,2,7,E,,,,PlateNumber:2ColumnNumber:7RowNumber:E
,2,7,F,,,,PlateNumber:2ColumnNumber:7RowNumber:F
,2,7,G,,,,PlateNumber:2ColumnNumber:7RowNumber:G
,2,7,H,,,,PlateNumber:2ColumnNumber:7RowNumber:H
,2,8,A,,,,PlateNumber:2ColumnNumber:8RowNumber:A
,2,8,B,,,,PlateNumber:2ColumnNumber:8RowNumber:B
,2,8,C,,,,PlateNumber:2ColumnNumber:8RowNumber:C
,2,8,D,,,,PlateNumber:2ColumnNumber:8RowNumber:D
,2,8,E,,,,PlateNumber:2ColumnNumber:8RowNumber:E
,2,8,F,,,,PlateNumber:2ColumnNumber:8RowNumber:F
,2,8,G,,,,PlateNumber:2ColumnNumber:8RowNumber:G
,2,8,H,,,,PlateNumber:2ColumnNumber:8RowNumber:H
,2,9,A,,,,PlateNumber:2ColumnNumber:9RowNumber:A
,2,9,B,,,,PlateNumber:2ColumnNumber:9RowNumber:B
,2,9,C,,,,PlateNumber:2ColumnNumber:9RowNumber:C
,2,9,D,,,,PlateNumber:2ColumnNumber:9RowNumber:D
