Catalog	Order	SciName	Suborder	Family	Subfamily	Genus	Species	Country	State.Province	County	Locality	Identified.By	Date.Identified	Type.Status	Collector	Associated.Collectors	Year	Event.Date	Verbatim.Date	Notes	Habitat	Life.Stage	Sex	Individual.Count	Sampling.Protocol	Preparations	Decimal.Latitude	Decimal.Longitude	Uncertainty	Maximum.Elevation.In.Meters
UCSB-IZC00003855	Hymenoptera	Lamennaisia ambigua	NA	Encyrtidae	NA	Lamennaisia	ambigua	United States	California	Santa Barbara	UCSB North Campus Open Space	Bob Zuparko	May, 2018	NA	UCSB Arthropod Survey	NA	2016	2016-07-28	July 28-29, 2016		Fennel, before restoration	Adult	Male	1	Yellow Pan Trap	Pinned	34.4187582	-119.8788641	10	NA
UCSB-IZC00009100	Hymenoptera	Bombus melanopygus	NA	Apidae	NA	Bombus	melanopygus	United States	California	Merced	Scott Road	Jamie Pawelek	2017	NA	UCSB Zoology 126: Pritchett	NA	1985	1985-05-23	1985-5-23			Adult	Male	1		Pinned	37.29881	-120.568454	430	NA
UCSB-IZC00009197	Hymenoptera	Xylocopa tabaniformis orpifex	NA	Apidae	NA	Xylocopa	tabaniformis	United States	California	Santa Barbara	Sands Trail	Rachel Behm	2017	NA	Jolene Tran	NA	2015	2015-05-11	2015-5-11			Adult		1		Pinned	34.408037	-119.877392	1000	NA
UCSB-IZC00004447	Hymenoptera	Sceliphron caementarium	NA	Sphecidae	NA	Sceliphron	caementarium	United States	California	Santa Barbara	University of California, Santa Barbara Manzanita Village			NA	Eloy Bacilio	NA	2016	2016-05-19	2016-5-19					1		Pinned	34.409492	-119.852281	229	NA
UCSB-IZC00004752	Hymenoptera	Camponotus semitestaceus	NA	Formicidae	NA	Camponotus	semitestaceus	United States	California	Santa Barbara	Lizards Mouth Trail	Ida Naughton	2019	NA	N. Pham	NA	2015	2015-05-16	2015-5-16			Adult		1		Pinned	34.502242	-119.867937	381	NA
UCSB-IZC00006683	Hymenoptera	Diplazon laetatorius	NA	Ichneumonidae	NA	Diplazon	laetatorius	United States	California	Santa Barbara	University of California, Santa Barbara Campus	Rachel Behm	2017	NA	Alain Garkanian	NA	2016	2016-06-25	2016-6-25					1	mesh net	Pinned	34.4137	-119.848	NA	NA
UCSB-IZC00006208	Hymenoptera	Vespula pensylvanica	NA	Vespidae	NA	Vespula	pensylvanica	United States	California	Santa Barbara	Upper Refugio Canyon			NA		NA	2015	2015-05-07	2015-5-7	flying around tree				1		Pinned	34.494815	-120.065666	3334	NA
UCSB-IZC00014965	Hymenoptera	Andrena principalis	NA	Andrenidae	NA	Andrena	principalis	United States	California	Santa Barbara	Santa Cruz Island; South Ridge Road	John Asher	2008	NA	Adrian Wenner	NA	1992	1992-01-19	1992-1-19	Santa Cruz Island Reserve (SCIR) Collection, 2017				1		Pinned	33.996689	-119.753683	8800	NA
UCSB-IZC00021770	Hymenoptera	Lasioglossum (Dialictus)	NA	Halictidae	NA	Lasioglossum (Dialictus)		United States	California	Santa Barbara	UCSB North Campus Open Space	Katja Seltmann	2019	NA	UCSB Arthropod Survey	NA	2016	2016-07-22	Jul 22-29, 2016		Creek/wetland - upland salt marsh, before restoration	Adult	Female	1	Malaise Trap	Pinned	34.42050607	-119.87756	NA	NA
UCSB-IZC00021587	Hymenoptera	Linepithema humile	NA	Formicidae	NA	Linepithema	humile	United States	California	Santa Barbara	UCSB North Campus Open Space	Zach Brown	2018	NA	UCSB Arthropod Survey	NA	2016	2016-06-27	June 27-30, 2016			Adult		1	Pitfall Trap	Pinned	34.4206	-119.8729	NA	NA
UCSB-IZC00026835	Hymenoptera	Liometopum occidentale	NA	Formicidae	NA	Liometopum	occidentale	United States	California	Santa Barbara	Refugio Canyon	Elaine Tan	2018	NA	Kimberly Tang	NA	2018	2018-05-09	2018-5-9			Adult		1	Hand	Pinned	34.494269	-120.065422	3730	NA
